job_position,job_company,job_address,job_salary,job_welfare,job_year,job_education,company_num,company_business,job_detail
10,数据分析师,卓望数码技术（深圳）有限公司,南京-建邺区,1-1.5万/月,五险一金/餐饮补贴/通讯补贴/专业培训/年终奖金/弹性工作/定期体检/综合补助/周末双休/工会福利,3-4年经验,本科,1000-5000人,通信/电信运营、增值服务,"岗位说明：
、负责公司业务的相关数据分析工作；提供数据决策支持；
、对互联网数字内容领域有深入的了解，对分容分化行业的推荐算法逻辑、内容运营等业务知识有所了解或接触；
、能够与产品、销售、内容运营等同事配合，从用户行为、运营策略、内容体验的角度进行深入的数据分析，给业务方向和业务模式提供建议，并给出可落地的优化方案；
、具有良好的沟通能力，与合作方相关人员对接沟通解决相关日志、数据、业务问题；
、熟练使用
，熟悉分布式数据环境，会利用
或
等工具进行数据处理；
任职要求：
、计算机、数学、统计等相关专业优先
、有较强的数据洞察能力，有很强的自我学习能力，逻辑思维严谨细致，对数据分析有强烈兴趣
、有过成功业务优化经验者优先
、有互联网公司数据分析、运营经理、策略经理等多方面经验者优先
、有较强的沟通能力，或有乙方工作经验者优先
"
11,数据采集及处理工程师 (MJ000152),嬴彻科技（上海）有限公司,上海-杨浦区,3-4万/月,五险一金/通讯补贴/弹性工作/年终奖金/餐饮补贴,在校生/应届生,本科,150-500人,"汽车及零配件,计算机软件","？ 前期道路数据采集工作，梳理数据采集需求等
？ 制定数据处理流程，确认数据的输入输出形式
"
12,数据分析经理,旺盈印刷集团（国际）有限公司,东莞-东城区,0.8-1万/月,带薪年假/节日福利/生日礼物/社保,1年经验,本科,5000-10000人,印刷/包装/造纸,"1.会使用专业分析/展示工具经验优先（kettle、spss、tableau、PL、SQL等）； 
2.根据客户/项目需求进行数据分析，建模，可视化处理； 
3.构建有效且通用模型，支持现有业务并适应业务的拓展；
 4.负责与各个业务部门沟通，寻找业务突破点，提升项目等级；
 5.统计学，会计学相关专业；
6.英语四级以上。
"
13,数据专员,苏州新东方学校,苏州-姑苏区,5-8千/月,五险一金/员工旅游/专业培训/绩效奖金/定期体检/年终奖金/周末双休/发展空间大,无需经验,本科,1000-5000人,教育/培训/院校,"技能要求：
Python，SPS，SQL，行业分析，数据采集，数据建模
岗位职责：
1. 收集及统计部门需求数据，定期更新数据报表并进行分类保管；
2. 通过数据软件对数据进行有针对性的分析，重点标注异常数据；
3. 负责与各部门的协调沟通，完成上级领导临时交办的工作。
任职要求：
1. 本科及以上学历，电子信息与统计学专业优先考虑；
2. 熟悉数据管理软件的操作，有数据汇总处理及分析相关工作经验者优先考虑；
3. 有较好的沟通表达、统筹协调能力，做事认真负责，关注细节；
4. 符合并认可新东方价值观。
工作时间： 周一至周五 9:00—18:00
工作地点：苏州市吴中大厦六楼
晋升通道：专员/高级专员—主管/高级主管—经理/高级经理—副总监/总监—校长
福利待遇：五险一金 绩效奖金 底薪年假 年度体检 员工旅游 高温补贴 节日福利 优惠报名
"
14,大数据开发工程师,青岛工业软件研究所,青岛-高新区,0.6-1万/月,五险一金/餐饮补贴/弹性工作/定期体检/人才公寓/带薪年假/周末双休,2年经验,本科,少于50人,计算机软件,"1、参与海量数据批处理平台、实时数据处理平台等系统开发；
       2、负责业务数据体系的设计、数据统计、分析及数据建模;
　　3、负责大数据计算框架的选型与计算流程的设计、开发和过程优化;
　　4、独立完成产品(项目)核心模块代码开发、业务代码开发、系统性能调优等工作;
    　　5、参与产品(项目)相关系统需求分析以及撰写相关系统设计文档。
       1、计算机及其相关专业，大专及以上学历。两年以上大数据应用经验;
　　2、具备实时处理框架的设计和开发能力，熟练掌握Storm、Spark streaming等大数据实时处理框架中的一种，熟悉Spark 、R、Hadoop、Hbase、Hive、Elastic  Search/Solr等相关技术;
3、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验;
　　4、了解J2EE技术平台及主流框架，具有SpingMVC、SpringBoot、Spring  cloud、Mybatis、Redis等框架开发经验;熟悉Linux开发环境，能进行shell脚本的编写，熟悉MATLAB、Python等技术优先；
"
15,数据库管理员DBA,新浪时金（上海）信息技术有限公司,上海-浦东新区,1-2万/月,五险一金/补充医疗保险/做五休二/带薪年假/节日福利/餐饮补贴,2年经验,本科,150-500人,"金融/投资/证券,互联网/电子商务","岗位职责：
1、负责生产环境MySQL、Redis、MongoDB等数据库系统设计，部署，维护； 
2、负责数据库的监控，提前发现隐患，规避风险； 
3、数据库sql审核和调优；
4、与开发团队协作，规范权限、数据库变更流程，故障处理并为开发同事提供库表设计、sql优化、逻辑实现等建议；
5、定制实施数据备份，冗灾恢复等。
任职要求：
1、本科以上学历，计算机相关专业； 
2、2-3年以上DBA相关工作经验； 
3、精通MySQL数据库，有关系型数据库模型设计，分析经验； 
4、熟悉Linux，熟悉Shell、Python，有大规模Linux环境下数据库管理经验； 
5、互联网行业海量数据数据库运维经验优先；
6、高度的责任心、良好的沟通技巧和团队合作精神。
"
16,大数据工程师,湖南三一泵送机械有限公司,长沙-长沙县,1.5-2万/月,五险一金/免费班车/专业培训/绩效奖金/年终奖金/定期体检/出国机会,2年经验,本科,10000人以上,机械/设备/重工,"岗位职责：
岗位方向一：负责企业车联网平台软件、系统与应用平台管理和维护，包括平台运行状态监控、升级、故障处理和优化等操作、车辆平台日常上线、调试、异常情况处理及操作流程系统优化等。
岗位方向二：负责企业数据相关平台的搭建、开发、维护、优化； 数据采集、加工、处理等程序的开发 ； 海量数据查询、分析、挖掘相关工作等。
岗位方向三：负责企业SAP系统PP/SD/MM模块的需求分析、方案设计、系统实现、用户培训、上线准备、技术支持、推广应用等。
全日制统招本科以上学历，计算机、电子通信相关专业，2年以上大数据工作经验。
"
17,天猫运营专员（偏数据分析）,浙江菱格木业有限公司,湖州,5-8千/月,节日福利/五险一金/带薪年假/绩效奖金/全勤奖,2年经验,大专,500-1000人,"建筑/建材/工程,原材料和加工","                         岗位职责：
1、熟悉京东天猫等国内外电商平台，对于平台的各维度数据有较深的理解与认识，对电商业务模式熟悉，清楚各环节各层面的数据价值；
2、根据平台销售模块，推广模块，物流模块，客服模块反馈的数据，给出各维度数据分析，协助部门制定业务发展策略。
3、每日监控的数据，发掘隐含内在问题并及时处理，提高店铺点击和浏览率，完成店铺营销目标；
4、对直通车、钻展、快车、聚效等数据有较深的认识与理解，并进行相关的数据分析，每月出具分析报告给运营进行数据分析；5、配合运营具体的营销活动及市场推广方案，根据整体行情，优化推广策略，并研究同行业竞争对手发展状况，定期进行各平台市场数据分析以及竞品的分析。
任职要求：
1、大专以上学历，2年以上（天猫及京东）数据分析工作经验，在代运营公司（即TP公司）有优秀案例者优先
2、熟练掌握搜索规则原理及洞察搜索变化；
3、熟悉手淘首页的入围规则，精准分析产品与人群需求；
4、熟悉直通车或者快车关键词筛选及关键词竞价技巧；
5、具有较好的逻辑思维能力及对数据的分析能力；
6、性格开朗，有良好的团队合作意识，耐心，诚恳，有强烈的责任心和积极主动的工作态度。
                         工作地址说明：
入职前三个月工作地点为浙江湖州练市（天格地板中国营销总部）；
入职三个月后工作地点为浙江杭州。 
"
18,临床数据管理专员,海沁企业管理（杭州）有限公司,杭州-余杭区,4-6千/月,五险一金/餐饮补贴/专业培训/绩效奖金/年终奖金/定期体检/员工旅游,在校生/应届生,本科,少于50人,制药/生物工程,"岗位职责：
1、协助部门主管审核数据管理（DM）相关SOP，如有需要，做及时更新；
2、参与数据核查计划撰写、逻辑核查程序、外部数据管理数据清理；
3、协助完成从EDC中提取、导出数据；
4、参与跟踪管理项目的整体进度与质量，并更新进度与质量报告；
5、负责完成进行数据管理工作中相关文档的管理；
6、其他上级领导交代的任务。 
岗位要求：
1、流行病学、公共卫生、数理统计、卫生信息管理等相关专业，本科以上学历，有临床试验统计经验和硕士学历者优先；
2.  至少半年以上的临床试验数据管理领域相关工作经验，熟悉统计模型的SAS程序；
3、熟悉临床研究的主要步骤与设计原则，了解EDC系统；
3、良好的沟通能力、专业技能和书面英语能力。
"
19,IT管理员（精通EXCEL数据分析）,百兴集团有限公司,常州-武进区,5-8.5千/月,五险一金/包吃/包住宿/绩效奖金/节日福利/专业培训,3-4年经验,本科,1000-5000人,"原材料和加工,新能源","岗位职责：
1.负责公司系统的日常运行及维护；
2.负责分析、挖掘公司各业务领域的数据分析需求，深入理解数据业务，通过分析可视化、数据可视化等不断提升公司数据应用能力；
3.负责公司ERP系统的运维；
4.完成公司安排的其它相关的工作和任务。
任职要求：
"
20,数据统计员,绝味鸭脖贵州子公司,贵阳,3-4.5千/月,带薪年假/包吃/五险一金/绩效奖金/节日福利/交通补贴/高温补贴/通讯补贴/包住,在校生/应届生,大专,150-500人,快速消费品(食品、饮料、化妆品),"1.负责日常数据统计，报表整理
2.生产计划排程学习
3.订单审核
4、数据跟踪
任职资格：
大专以上学历
计算机操作熟练
对数据敏感
***
"
21,数据分析员,河南海宏生态科技有限公司,绍兴,3-4.5千/月,五险一金/餐饮补贴/通讯补贴/专业培训/定期体检/年终奖金,在校生/应届生,本科,50-150人,环保,"岗位内容：
1、数据搜集、整理、规律和挖掘分析；
2、根据大数据拟合研判，编辑微信推送，指导各级客户措施落实。
3、负责环境监测数据的分析和污染防治方案编制，如汇报材料、微信、日报、周报、月报、季报、特殊污染事件、重污染过程分析及协助项目经理准备调度会等；
4、负责研判会商、应急启动、现场咨询，做好统筹分析，科学指导；
5、根据数据分析结果，指导日常污染源督察工作；
6、日常分析工作的优化完善；
7、上级交代的其他临时性工作。
任职要求：
1、本科及以上学历，数学专业、环境科学、环境化学、化学环境、文学编辑相关专业优先；
2、熟练运用office常用办公软件，可操作spss，origin，surfer，matlab等数据分析软件者优先；
3、有大数据分析师或编辑、写手等文字编辑类经验者优先；
4、做事认真，责任心强；
5、熟悉政府公文格式者优先，具备独特意见建议想法的人可做特殊考虑。
6.能适应短期出差，服从调度。
"
22,数据产品经理,深圳市逗娱科技有限公司,深圳-南山区,1.5-2.8万/月,周末双休/弹性工作/带薪年假/五险一金/绩效奖金/节日福利/不打卡/加班餐补,3-4年经验,本科,50-150人,计算机软件,"1、负责社交场景各项模块的推荐规划、机制搭建、策略设计、数据分析；
2、平台画像搭建，用户分层、用户标签，提升用户社交效率和粘度。
3、定期分析数据报告，逻辑性强，分析有深度，具有产品指导意义和公司决策意义。
4、对于市场分析和业务流程梳理能力和逻辑思维能力，并能快速提出优化改造方案。
岗位要求:
1、5年以上工作经验，有社交、直播、视频电商从业经验。
2、有推荐、广告、所搜算法产品策划经验优先，用户画像经验优先。
3、熟悉产品开发规划流畅。
4、态度是***位的，主观能动性是***位。具备很强的学习能力，能够在较短时间内快速掌握新知识，对已知领域有独到见地、并能够在工作中应用过往项目经验。
"
23,数据专员5000+,南京中盛枫贸易有限公司,南京,4.5-6千/月,绩效奖金/全勤奖/带薪年假/五险一金/专业培训/节日福利/通讯补贴,1年经验,大专,150-500人,家具/家电/玩具/礼品,"工作内容：    
1、汇总各店铺销售数据，整理成日报
2、汇总当天即时销售数据，分别于当天各指定时间段发表数据汇总表
3、汇总前一天各店铺流量及投放数据。发送至上级主管
4、汇总前一天及本月各型号销量、销售数据。发送至领导邮箱
5、汇总本月截止前一天各店铺销售及销售额，输出零售
任职要求：  
1、统招专科以上学历，计算机、数学、经济、财务专业优先
2、工作半年以上，有相关经验。能熟练使用Office软件（EXECL、PPT、WORD）。特别对EXECL功能使用熟练。
3、对数据敏感，有较强的逻辑分析能力和文字表达能力，严谨，敬业、逻辑性强。对工作积极负责，有较强的学习能力、应急处理能力、沟通能力
4、能接受去无锡出差，每月2次，2-3天
特殊要求： 1、爱笑，越大声越好，越灿烂越好（性格） 2、女生爱臭美，男生爱耍帅（审美） 3、爱聊天，有独特见解，话唠非常好（沟通应变能力） 4、爱吃火锅爱吃辣（不能吃辣慢慢来，跟着我绝对可以吃 5、爱吃肉（你想吃素我也会逼你吃肉，并且传授给你吃不胖的秘诀 6、爱喝可乐 （爱喝茶也可以 ）7、追星（要专一追一个的）
"
24,数据分析师,广州足力健电子商务有限责任公司,广州-花都区,0.8-1.3万/月,五险一金/专业培训/年终奖金/绩效奖金/餐饮补贴/员工旅游/出国机会,3-4年经验,大专,500-1000人,互联网/电子商务,"1、熟悉如何用数据驱动电商/零售业务，制定业务数据的采集策略，设计、建立、测试相关的数据模型，从而实现从数据中提取决策价值，提升数据支持运营能力。
2、了解阿里平台消费者运营方向（GROW模型、AIPL），能够对消费者运营提供数据支持，挖掘分析主题，开展数据分析，给CRM部门提供商业策略分析和业务优化建议，持续改进运营效果。
3、优化和完善客户数据分析体系，如KPI指标体系、分析报表模型等。
4、根据分析需求，形成数据产品需求，协助产品经理完成BI系统设计。
任职要求：
1、大专以上学历，2年以上互联网电商平台/商家数据分析经验，1年以上CRM数据分析经验。
2、清晰的运营思路、善于数据分析，对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力。
3、有完善的用户运营知识体系，如RFM、漏斗、AIPL、留存等模型。
4、能熟练运用Excel、SQL、等常用的数据分析工具，熟练运用PPT。
5、良好的沟通表达能力、执行力强、善于团队合作。
"
25,产品数据专员,上海天德勤汽车零部件有限公司,上海-嘉定区,6-8千/月,五险一金/专业培训/定期体检/做五休二/带薪年假/包吃包住/员工旅游/年终奖金,1年经验,大专,50-150人,"汽车及零配件,贸易/进出口","1）负责公司产品开发进度的跟踪和检查，保证新产品开发的完成； 
2）负责各系统新产品的推荐资料的汇总； 
3）负责对未合作供应商资源进行录入和定期维护、更新； 
4）通过新产品引入数据的统计和分析并提供各种数据汇总； 
5）及时完成领导交办的其他工作。
1）专科及以上学历，工科专业教育背景优先； 
2）具有1年工作经验； 
3）具有较强的沟通能力及执行力； 
4）熟练使用Office办公软件； 
5）踏实、有上进心，执行力强。
"
26,商品专员数据分析专员,南京达斯蒂贸易有限公司,南京-江宁区,4-6千/月,周末双休/带薪年假/包吃/五险一金/绩效奖金/节日福利/交通补贴/高温补贴/通讯补贴,2年经验,大专,50-150人,"贸易/进出口,服装/纺织/皮革","1.根据线上线上店铺销售定期更新销售相关报表
2.跟踪货品到货情况并合理给各销售渠道配发货品
3.根据各个销售渠道的销售合理调整货品结构.
4.保持各销售渠道商品库销比的合理性进行配发货品及跟进
5.每周数据分析与报表的制作；
6.上级领导交办的其他事项。
任职要求:
1.大专或大专以上学历.男女不限.
2.熟练运用办公软件，excel函数
3.2年以上服装数据分析经验
4. 有较强责任心，工作认真负责
"
27,数据库运维工程师,深圳市中盛瑞达科技有限公司,佛山-顺德区,0.8-1.2万/月,节日福利/五险一金/带薪年假/年度旅游/年底双薪/定期体检/交通补贴/餐饮补贴/通讯补贴,1年经验,大专,150-500人,"计算机硬件,计算机服务(系统、数据服务、维修)","任职要求：
1、专科及以上学历，计算机，网络，软件工程等相关专业，一年以上运维经验；
2、拥有良好的计算机体系结构，网络知识；
3、熟悉掌握脚本编程语言（python shell等）；
4、有良好的团队工作精神，具备突出的学习能力；
5、熟悉掌握数据库中间件mycat，具备运维及故障处理能力；
6、熟悉Mysql，PostgreSQL，NoSQL等数据库至少一种；
7、较强的逻辑思维能力，良好的学习心态及沟通能力，能主动进行技术钻研。
"
